loan_product_id,loan_type,purchase_category,min_interest_rate,max_interest_rate,min_term_months,max_term_months,min_loan_amount,max_loan_amount,processing_fee
1,personal,Entertainment,5.0,15.0,12,60,2000,30000,437.09
2,auto,Travel,3.0,8.0,24,84,10000,50000,955.64
3,home,Groceries,2.5,5.0,120,360,100000,500000,758.79
4,education,Education,4.0,10.0,24,120,5000,40000,638.79
5,business,Electronics,5.0,12.0,12,120,5000,200000,240.42
6,small_business,Electronics,6.0,14.0,12,84,10000,150000,240.4
7,agricultural,Groceries,4.5,9.0,24,120,20000,300000,152.28
8,student,Education,3.5,8.0,60,240,5000,50000,879.56
9,mortgage,Groceries,2.5,5.0,120,360,100000,1000000,641.0
10,credit_builder,Clothing,7.0,18.0,6,36,500,5000,737.27
11,debt_consolidation,Dining,5.0,15.0,12,60,5000,50000,118.53
12,medical,Health,4.0,10.0,12,48,2000,40000,972.92
13,vacation,Travel,6.0,16.0,6,24,1000,10000,849.2
14,wedding,Dining,5.0,12.0,12,36,3000,30000,291.11
15,refinancing,Electronics,2.0,5.0,60,360,10000,500000,263.64
16,construction,Groceries,4.5,9.0,24,120,50000,500000,265.06
17,equipment,Electronics,5.0,10.0,12,60,10000,200000,373.82
18,eco_friendly,Health,3.0,7.0,12,60,5000,50000,572.28
19,travel,Travel,6.0,15.0,6,24,1000,15000,488.75
20,other,Entertainment,5.0,15.0,12,60,1000,50000,362.11
