post_ID,platform,content,timestamp,sentiment_score,category
1,Twitter,Homemade kombucha was overly fermented.,2025-01-21 10:09:56,-0.65,Groceries
2,LinkedIn,Comparing features of smart light bulbs.,2025-02-28 14:30:34,0.0,Electronics
3,Twitter,The documentary was informative but dragged at times.,2025-02-25 10:37:06,0.0,Entertainment
4,Instagram,Struggling with portion control.,2025-02-11 10:12:12,-0.74,Health
5,Instagram,The atmosphere was pleasant but nothing standout.,2025-03-07 19:39:52,0.0,Dining
6,LinkedIn,Feeling more productive with regular stretching.,2025-02-13 08:05:32,0.51,Health
7,Facebook,Practicing SQL joins and subqueries.,2025-01-27 02:10:05,0.0,Education
8,Facebook,The festival was disorganized and crowded.,2025-01-28 00:27:35,-0.64,Entertainment
9,Facebook,"Canned items had dents, unsafe to use.",2025-01-13 07:17:10,-0.8,Groceries
10,Twitter,Poor fabric quality for the price.,2025-01-16 04:34:53,-0.93,Clothing
11,Facebook,The musical had some high points but was inconsistent.,2025-02-25 12:31:55,0.0,Entertainment
12,Twitter,Excited about trying homemade kombucha.,2025-01-09 06:13:50,0.8,Groceries
13,Twitter,The storyline lacked depth and direction.,2025-03-08 09:48:29,-0.64,Entertainment
14,Facebook,The clothes were delivered on time.,2025-01-18 06:13:26,0.0,Clothing
15,Facebook,Organic mushrooms added a great flavor.,2025-02-05 22:39:00,0.95,Groceries
16,Instagram,The pasta sauce was watery and flavorless.,2025-03-05 04:25:27,-0.81,Dining
17,Twitter,Experimenting with different meal plans.,2025-01-24 10:32:57,0.0,Health
18,Instagram,The festival was lively but a bit overwhelming.,2025-02-14 20:29:16,0.0,Travel
19,Instagram,New fitness app has mixed reviews.,2025-03-20 02:55:31,0.0,Health
20,Instagram,The heritage tour was detailed but lengthy.,2025-02-15 09:53:05,0.0,Travel
21,Twitter,The concert had an incredible lineup.,2025-01-08 05:43:01,0.98,Entertainment
22,LinkedIn,Joined a new learning group.,2025-03-15 20:15:59,0.0,Education
23,Facebook,The heritage tour was detailed but lengthy.,2025-03-16 09:38:32,0.0,Travel
24,LinkedIn,The video game had smooth controls and engaging missions.,2025-01-27 16:49:04,0.92,Entertainment
25,Twitter,The documentary was uninformative and dry.,2025-03-07 08:36:28,-0.78,Entertainment
26,Twitter,Healthy snacks were overpriced and bland.,2025-01-20 01:08:27,-0.52,Groceries
27,Twitter,"Received my order, looks as expected.",2025-02-11 08:58:59,0.0,Clothing
28,LinkedIn,Loaded up on wholesome healthy grains.,2025-01-07 00:25:06,0.92,Groceries
29,LinkedIn,Looked for deals on low-sodium soups.,2025-03-13 19:04:00,0.0,Groceries
30,LinkedIn,Discovering the importance of data governance.,2025-02-08 09:42:23,0.79,Education
31,Instagram,The local crafts were unique but expensive.,2025-03-15 16:17:15,0.0,Travel
32,Instagram,Happy with the freshness of the dairy.,2025-03-12 13:03:22,0.54,Groceries
33,Facebook,"The service was average, nothing special.",2025-02-13 22:40:49,0.0,Dining
34,Twitter,The activewear is perfect for high-intensity workouts.,2025-03-18 23:19:34,0.79,Clothing
35,Twitter,Experimenting with probiotic drinks.,2025-03-19 19:56:09,0.0,Health
36,LinkedIn,The color bled during washing.,2025-01-15 03:49:37,-0.75,Clothing
37,LinkedIn,The hike was moderately challenging.,2025-01-29 22:46:46,0.0,Travel
38,Facebook,The temple visit was overcrowded.,2025-02-26 06:54:12,-0.74,Travel
39,Twitter,"Reviewed a few research papers, yet to analyze.",2025-03-12 22:07:15,0.0,Education
40,Instagram,Looked at new varieties of nuts and seeds.,2025-03-14 07:52:39,0.0,Groceries
41,Instagram,The comedy special had relatable jokes.,2025-02-10 11:45:01,0.77,Entertainment
42,Instagram,Collaborating with peers in an exciting group project.,2025-02-14 00:24:33,0.81,Education
43,Twitter,The fantasy movie was too convoluted.,2025-03-19 20:34:48,-0.99,Entertainment
44,Instagram,Looked at the calorie content of my favorite snacks.,2025-03-11 13:23:41,0.0,Groceries
45,Facebook,Too many preservatives in packaged snacks.,2025-03-09 08:31:07,-0.87,Groceries
46,LinkedIn,"Received my order, looks as expected.",2025-01-27 04:21:43,0.0,Clothing
47,LinkedIn,"Switched to a new gym, seems decent.",2025-02-22 14:00:04,0.0,Health
48,Twitter,"Checked the stitching, seems fine.",2025-01-17 16:09:09,0.0,Clothing
49,Twitter,The seafood was cooked well but was bland.,2025-02-16 18:50:04,0.0,Dining
50,Instagram,The ambiance was fine but lacked vibrancy.,2025-01-23 00:40:17,0.0,Dining
51,Facebook,Evaluated different brands of olive oil.,2025-01-16 06:02:54,0.0,Groceries
52,Twitter,The jungle camping was unsafe and poorly managed.,2025-03-18 22:44:47,-0.71,Travel
53,Twitter,Feeling more focused after practicing mindfulness.,2025-01-29 06:46:45,0.57,Health
